,id,fly_from,fly_to,airline,flight,date,departure_time,arrival_time,price
0,1,SYD,MEL,Virgin,VA498,22/10/29,18:56,20:31,363
1,2,SYD,MEL,Jetstar,JQ538,22/09/30,06:10,07:45,185
2,3,SYD,MEL,Jetstar,JQ200,22/12/02,06:49,08:24,425
3,4,SYD,MEL,Jetstar,JQ841,22/09/18,19:01,20:36,72
4,5,SYD,MEL,Virgin,VA825,22/10/13,20:26,22:01,204
5,6,SYD,MEL,Qantas,QF910,22/12/16,07:16,08:51,309
6,7,SYD,MEL,Qantas,QF623,22/09/30,23:25,01:00,219
7,8,SYD,MEL,Virgin,VA965,22/11/05,23:47,01:22,147
8,9,SYD,MEL,Virgin,VA607,22/12/04,16:13,17:48,355
9,10,SYD,MEL,Virgin,VA642,22/10/25,07:21,08:56,93
10,11,SYD,MEL,Virgin,VA878,22/10/02,08:41,10:16,424
11,12,SYD,MEL,Jetstar,JQ506,22/10/19,21:25,23:00,114
12,13,SYD,MEL,Virgin,VA389,22/11/30,06:36,08:11,156
13,14,SYD,MEL,Virgin,VA813,22/10/04,22:55,00:30,294
14,15,SYD,MEL,Virgin,VA669,22/12/02,10:56,12:31,469
15,16,SYD,MEL,Qantas,QF893,22/12/06,17:48,19:23,61
16,17,SYD,MEL,Jetstar,JQ588,22/10/25,07:39,09:14,291
17,18,SYD,MEL,Qantas,QF138,22/12/11,13:37,15:12,121
18,19,SYD,MEL,Virgin,VA461,22/12/05,22:56,00:31,322
19,20,SYD,MEL,Jetstar,JQ717,22/11/25,14:46,16:21,187
20,21,SYD,MEL,Jetstar,JQ557,22/09/17,19:40,21:15,480
21,22,SYD,MEL,Jetstar,JQ775,22/12/24,06:15,07:50,441
22,23,SYD,MEL,Jetstar,JQ937,22/12/01,07:13,08:48,233
23,24,SYD,MEL,Virgin,VA254,22/11/12,21:58,23:33,289
24,25,SYD,MEL,Qantas,QF109,22/11/08,22:18,23:53,57
25,26,SYD,MEL,Qantas,QF730,22/10/18,17:30,19:05,415
26,27,SYD,MEL,Virgin,VA668,22/12/24,18:36,20:11,213
27,28,SYD,MEL,Jetstar,JQ842,22/09/18,09:56,11:31,464
28,29,SYD,MEL,Jetstar,JQ120,22/10/07,17:10,18:45,337
29,30,SYD,MEL,Qantas,QF393,22/11/22,14:50,16:25,303
30,31,SYD,MEL,Qantas,QF768,22/10/17,17:37,19:12,226
31,32,SYD,MEL,Jetstar,JQ236,22/11/11,19:49,21:24,408
32,33,SYD,MEL,Virgin,VA805,22/09/26,09:46,11:21,409
